Nome do deputado,Tipo de gasto,Partido,Estado,Valor
EDUARDO BARBOSA,Fuels and lubricants,PSDB,MG,155.73
BENEDITA DA SILVA,Fuels and lubricants,PT,RJ,69.87
LUIZ FERNANDO FARIA,Fuels and lubricants,PP,MG,249.25
LUIZ FERNANDO FARIA,Congressperson meal,PP,MG,47.9
LÁZARO BOTELHO,Telecommunication,PP,TO,151.01
LÁZARO BOTELHO,Telecommunication,PP,TO,1491.39
FELIPE MAIA,Fuels and lubricants,DEM,RN,100.0
FÁBIO RAMALHO,Fuels and lubricants,PMDB,MG,196.4
CHICO D'ANGELO,Publicity of parliamentary activity,PT,RJ,1500.0
CHICO D'ANGELO,Taxi toll and parking,PT,RJ,50.0
CHICO D'ANGELO,Taxi toll and parking,PT,RJ,22.0
CHICO D'ANGELO,Taxi toll and parking,PT,RJ,14.0
AFONSO HAMM,Fuels and lubricants,PP,RS,205.01
AFONSO HAMM,Fuels and lubricants,PP,RS,100.03
AFONSO HAMM,Fuels and lubricants,PP,RS,70.49
AFONSO HAMM,Congressperson meal,PP,RS,61.5
MARCO MAIA,Taxi toll and parking,PT,RS,5.0
SÉRGIO BRITO,Maintenance of office supporting parliamentary activity,PSD,BA,2900.0
DELEY,Automotive vehicle renting or charter,PTB,RJ,3600.0
JOSÉ CARLOS ARAÚJO,Congressperson meal,PR,BA,45.6
CELSO JACOB,Congressperson meal,PMDB,RJ,49.5
LUIS CARLOS HEINZE,Taxi toll and parking,PP,RS,97.0
LUIS CARLOS HEINZE,Taxi toll and parking,PP,RS,97.0
PEDRO CHAVES,Fuels and lubricants,PMDB,GO,231.98
LUIZ SÉRGIO,Taxi toll and parking,PT,RJ,20.0
LUIZ SÉRGIO,Fuels and lubricants,PT,RJ,150.0
GONZAGA PATRIOTA,Automotive vehicle renting or charter,PSB,PE,6500.0
PAULO MAGALHÃES,Fuels and lubricants,PSD,BA,1540.0
NELSON PELLEGRINO,Fuels and lubricants,PT,BA,100.0
NELSON PELLEGRINO,Automotive vehicle renting or charter,PT,BA,3000.0
DAMIÃO FELICIANO,Fuels and lubricants,PDT,PB,191.94
DAMIÃO FELICIANO,Fuels and lubricants,PDT,PB,50.0
RAIMUNDO GOMES DE MATOS,Fuels and lubricants,PSDB,CE,65.89
ROBERTO FREIRE,Fuels and lubricants,PPS,SP,158.84
ELCIONE BARBALHO,Congressperson meal,PMDB,PA,29.7
EDUARDO BARBOSA,Congressperson meal,PSDB,MG,28.6
EDUARDO BARBOSA,Congressperson meal,PSDB,MG,30.11
MARCOS MONTES,Publicity of parliamentary activity,PSD,MG,7000.0
AROLDE DE OLIVEIRA,Automotive vehicle renting or charter,PSC,RJ,3300.0
JOÃO CARLOS BACELAR,Congressperson meal,PR,BA,16.95
GEORGE HILTON,Maintenance of office supporting parliamentary activity,PSB,MG,2504.69
FELIPE MAIA,Congressperson meal,DEM,RN,110.0
FELIPE MAIA,Fuels and lubricants,DEM,RN,100.0
FÁBIO FARIA,Fuels and lubricants,PSD,RN,199.09
FÁBIO FARIA,Fuels and lubricants,PSD,RN,210.71
CHICO D'ANGELO,Taxi toll and parking,PT,RJ,25.0
CHICO D'ANGELO,Taxi toll and parking,PT,RJ,27.0
CHICO D'ANGELO,Taxi toll and parking,PT,RJ,18.0
BRUNO ARAÚJO,Automotive vehicle renting or charter,PSDB,PE,440.0
ANDRÉ FIGUEIREDO,Automotive vehicle renting or charter,PDT,CE,2347.0
GORETE PEREIRA,Publicity of parliamentary activity,PR,CE,5000.0
MARIA HELENA,Fuels and lubricants,PSB,RR,186.38
LEONARDO PICCIANI,Fuels and lubricants,PMDB,RJ,200.0
DELEY,Maintenance of office supporting parliamentary activity,PTB,RJ,5000.0
JOSÉ OTÁVIO GERMANO,Consultancy research and technical work,PP,RS,36000.0
ASSIS DO COUTO,Fuels and lubricants,PDT,PR,220.31
CELSO JACOB,Congressperson meal,PMDB,RJ,49.5
PEDRO CHAVES,Maintenance of office supporting parliamentary activity,PMDB,GO,180.0
MILTON MONTI,Fuels and lubricants,PR,SP,100.0
GONZAGA PATRIOTA,Fuels and lubricants,PSB,PE,242.58
NELSON PELLEGRINO,Fuels and lubricants,PT,BA,20.0
NELSON PELLEGRINO,Fuels and lubricants,PT,BA,200.01
NELSON PELLEGRINO,Maintenance of office supporting parliamentary activity,PT,BA,114.5
NELSON PELLEGRINO,Congressperson meal,PT,BA,12.0
DAMIÃO FELICIANO,Maintenance of office supporting parliamentary activity,PDT,PB,342.5
PAULO FEIJÓ,Publicity of parliamentary activity,PR,RJ,8000.0
PAULO FEIJÓ,Automotive vehicle renting or charter,PR,RJ,6000.0
ROBERTO FREIRE,Congressperson meal,PPS,SP,60.4
LAURA CARNEIRO,Congressperson meal,PMDB,RJ,132.0
HERÁCLITO FORTES,Publication subscriptions,PSB,PI,80.0
EDUARDO BARBOSA,Publicity of parliamentary activity,PSDB,MG,196.59
RENATO MOLLING,Congressperson meal,PP,RS,27.9
RENATO MOLLING,Taxi toll and parking,PP,RS,30.0
PEPE VARGAS,Lodging except for congressperson from Distrito Federal,PT,RS,219.45
PAULO TEIXEIRA,Publicity of parliamentary activity,PT,SP,19000.0
PAULO PEREIRA DA SILVA,Taxi toll and parking,SD,SP,45.0
PAULO PEREIRA DA SILVA,Maintenance of office supporting parliamentary activity,SD,SP,147.5
BENEDITA DA SILVA,Taxi toll and parking,PT,RJ,20.0
LÚCIO VALE,Automotive vehicle renting or charter,PR,PA,5990.0
JULIÃO AMIN,Congressperson meal,PDT,MA,57.6
JOÃO CARLOS BACELAR,Fuels and lubricants,PR,BA,251.23
EDUARDO DA FONTE,Fuels and lubricants,PP,PE,278.03
CLEBER VERDE,Fuels and lubricants,PRB,MA,50.0
CHICO D'ANGELO,Taxi toll and parking,PT,RJ,65.0
CHICO D'ANGELO,Taxi toll and parking,PT,RJ,17.0
CHICO D'ANGELO,Publicity of parliamentary activity,PT,RJ,12000.0
BRUNO ARAÚJO,Flight tickets,PSDB,PE,1564.8
AFONSO HAMM,Congressperson meal,PP,RS,26.8
ANDRÉ FIGUEIREDO,Fuels and lubricants,PDT,CE,212.49
MARCO MAIA,Terrestrial maritime and fluvial tickets,PT,RS,80.95
GORETE PEREIRA,Fuels and lubricants,PR,CE,200.0
REGINALDO LOPES,Fuels and lubricants,PT,MG,209.03
REGINALDO LOPES,Lodging except for congressperson from Distrito Federal,PT,MG,62.0
REGINALDO LOPES,Lodging except for congressperson from Distrito Federal,PT,MG,62.0
REGINALDO LOPES,Lodging except for congressperson from Distrito Federal,PT,MG,284.28
JEFFERSON CAMPOS,Maintenance of office supporting parliamentary activity,PSD,SP,5600.0
JEFFERSON CAMPOS,Security service provided by specialized company,PSD,SP,2910.0
MARIA DO ROSÁRIO,Postal services,PT,RS,92.3
CARLOS MANATO,Automotive vehicle renting or charter,SD,ES,5900.0
CARLOS MANATO,Automotive vehicle renting or charter,SD,ES,5900.0
DELEY,Fuels and lubricants,PTB,RJ,207.37
JOSÉ OTÁVIO GERMANO,Fuels and lubricants,PP,RS,158.48
JOSÉ CARLOS ARAÚJO,Fuels and lubricants,PR,BA,72.05
CHICO ALENCAR,Maintenance of office supporting parliamentary activity,PSOL,RJ,494.0
ASSIS DO COUTO,Fuels and lubricants,PDT,PR,280.0
ALICE PORTUGAL,Fuels and lubricants,PCdoB,BA,109.44
CELSO JACOB,Publicity of parliamentary activity,PMDB,RJ,1500.0
CELSO JACOB,Publicity of parliamentary activity,PMDB,RJ,2500.0
CELSO JACOB,Publicity of parliamentary activity,PMDB,RJ,2500.0
CELSO JACOB,Congressperson meal,PMDB,RJ,51.0
POMPEO DE MATTOS,Fuels and lubricants,PDT,RS,100.0
LUIS CARLOS HEINZE,Fuels and lubricants,PP,RS,148.22
PEDRO CHAVES,Fuels and lubricants,PMDB,GO,160.0
LUIZ SÉRGIO,Postal services,PT,RJ,71.25
GONZAGA PATRIOTA,Fuels and lubricants,PSB,PE,131.68
PAULO MAGALHÃES,Fuels and lubricants,PSD,BA,100.0
NELSON PELLEGRINO,Congressperson meal,PT,BA,20.0
NELSON PELLEGRINO,Fuels and lubricants,PT,BA,163.54
NELSON PELLEGRINO,Fuels and lubricants,PT,BA,50.0
CARLOS EDUARDO CADOCA,Congressperson meal,PDT,PE,39.89
ANDRÉ DE PAULA,Congressperson meal,PSD,PE,86.8
SILVIO TORRES,Congressperson meal,PSDB,SP,62.9
ROBERTO FREIRE,Congressperson meal,PPS,SP,121.95
LAURA CARNEIRO,Congressperson meal,PMDB,RJ,51.7
LAURA CARNEIRO,Congressperson meal,PMDB,RJ,97.9
IVAN VALENTE,Fuels and lubricants,PSOL,SP,120.0
ELCIONE BARBALHO,Congressperson meal,PMDB,PA,7.05
ELCIONE BARBALHO,Congressperson meal,PMDB,PA,35.02
EDUARDO BARBOSA,Fuels and lubricants,PSDB,MG,100.0
PEPE VARGAS,Fuels and lubricants,PT,RS,187.89
PEPE VARGAS,Congressperson meal,PT,RS,48.84
PEPE VARGAS,Congressperson meal,PT,RS,27.0
BENEDITA DA SILVA,Fuels and lubricants,PT,RJ,232.75
LUIZ FERNANDO FARIA,Fuels and lubricants,PP,MG,112.7
LEONARDO QUINTÃO,Congressperson meal,PMDB,MG,16.8
JULIÃO AMIN,Flight tickets,PDT,MA,599.8
JOÃO CARLOS BACELAR,Fuels and lubricants,PR,BA,100.0
FELIPE MAIA,Maintenance of office supporting parliamentary activity,DEM,RN,203.5
DAGOBERTO NOGUEIRA,Publicity of parliamentary activity,PDT,MS,3500.0
CHICO D'ANGELO,Fuels and lubricants,PT,RJ,145.21
CHICO D'ANGELO,Taxi toll and parking,PT,RJ,60.0
CELSO MALDANER,Fuels and lubricants,PMDB,SC,235.01
BRUNO ARAÚJO,Flight tickets,PSDB,PE,1846.8
AFONSO HAMM,Fuels and lubricants,PP,RS,267.5
ANDRÉ FIGUEIREDO,Publicity of parliamentary activity,PDT,CE,4000.0
MARCO MAIA,Fuels and lubricants,PT,RS,50.0
REGINALDO LOPES,Fuels and lubricants,PT,MG,40.0
JOÃO CAMPOS,Publication subscriptions,PRB,GO,212.0
JOÃO CAMPOS,Publicity of parliamentary activity,PRB,GO,4000.0
GERALDO RESENDE,Maintenance of office supporting parliamentary activity,PSDB,MS,1052.13
PATRUS ANANIAS,Postal services,PT,MG,26.8
LEONARDO PICCIANI,Flight tickets,PMDB,RJ,2649.0
JULIO LOPES,Publicity of parliamentary activity,PP,RJ,3000.0
DELEY,Fuels and lubricants,PTB,RJ,115.91
DELEY,Postal services,PTB,RJ,366.7
JOSÉ CARLOS ARAÚJO,Fuels and lubricants,PR,BA,122.73
JOSÉ CARLOS ARAÚJO,Fuels and lubricants,PR,BA,100.0
ASSIS DO COUTO,Fuels and lubricants,PDT,PR,1259.95
ASSIS DO COUTO,Fuels and lubricants,PDT,PR,1110.5
ASSIS DO COUTO,Fuels and lubricants,PDT,PR,800.0
ASSIS DO COUTO,Fuels and lubricants,PDT,PR,1050.0
ASSIS DO COUTO,Maintenance of office supporting parliamentary activity,PDT,PR,301.0
ALBERTO FRAGA,Publicity of parliamentary activity,DEM,DF,25200.0
ALBERTO FRAGA,Maintenance of office supporting parliamentary activity,DEM,DF,717.6
CELSO JACOB,Congressperson meal,PMDB,RJ,49.5
POMPEO DE MATTOS,Fuels and lubricants,PDT,RS,150.0
LUIS CARLOS HEINZE,Fuels and lubricants,PP,RS,169.31
PEDRO CHAVES,Fuels and lubricants,PMDB,GO,200.0
PEDRO CHAVES,Fuels and lubricants,PMDB,GO,195.0
NELSON PELLEGRINO,Fuels and lubricants,PT,BA,20.0
NELSON PELLEGRINO,Fuels and lubricants,PT,BA,100.0
CARLOS EDUARDO CADOCA,Automotive vehicle renting or charter,PDT,PE,2485.0
CARLOS EDUARDO CADOCA,Automotive vehicle renting or charter,PDT,PE,4000.0
ANDRÉ DE PAULA,Congressperson meal,PSD,PE,87.0
ANDRÉ DE PAULA,Fuels and lubricants,PSD,PE,70.0
DAMIÃO FELICIANO,Fuels and lubricants,PDT,PB,200.0
NILSON PINTO,Aircraft renting or charter of aircraft,PSDB,PA,7750.0
JOSUÉ BENGTSON,Publicity of parliamentary activity,PTB,PA,50000.0
RAIMUNDO GOMES DE MATOS,Maintenance of office supporting parliamentary activity,PSDB,CE,96.9
RAIMUNDO GOMES DE MATOS,Fuels and lubricants,PSDB,CE,100.0
SILVIO TORRES,Fuels and lubricants,PSDB,SP,79.18
SILVIO TORRES,Fuels and lubricants,PSDB,SP,150.0
HERÁCLITO FORTES,Fuels and lubricants,PSB,PI,193.07
EDUARDO BARBOSA,Congressperson meal,PSDB,MG,19.99
BENEDITA DA SILVA,Fuels and lubricants,PT,RJ,200.0
LUIZ FERNANDO FARIA,Fuels and lubricants,PP,MG,174.2
JOÃO CARLOS BACELAR,Congressperson meal,PR,BA,106.1
JOÃO CARLOS BACELAR,Fuels and lubricants,PR,BA,100.0
CELSO MALDANER,Fuels and lubricants,PMDB,SC,143.03
AFONSO HAMM,Fuels and lubricants,PP,RS,222.05
ONYX LORENZONI,Fuels and lubricants,DEM,RS,120.0
MAURÍCIO QUINTELLA LESSA,Flight tickets,PR,AL,1788.69
LUIZ COUTO,Fuels and lubricants,PT,PB,145.02
CHICO ALENCAR,Publication subscriptions,PSOL,RJ,1445.0
BENJAMIN MARANHÃO,Fuels and lubricants,SD,PB,274.99
POMPEO DE MATTOS,Fuels and lubricants,PDT,RS,150.0
LUIS CARLOS HEINZE,Fuels and lubricants,PP,RS,179.92
LUIS CARLOS HEINZE,Congressperson meal,PP,RS,63.0
LINCOLN PORTELA,Fuels and lubricants,PRB,MG,50.04
ANDRÉ DE PAULA,Fuels and lubricants,PSD,PE,194.99
RAIMUNDO GOMES DE MATOS,Fuels and lubricants,PSDB,CE,77.08
RAIMUNDO GOMES DE MATOS,Fuels and lubricants,PSDB,CE,166.31
SILVIO TORRES,Fuels and lubricants,PSDB,SP,146.02
IVAN VALENTE,Publicity of parliamentary activity,PSOL,SP,2000.0
ROBERTO BRITTO,Congressperson meal,PP,BA,90.5
CHICO D'ANGELO,Taxi toll and parking,PT,RJ,35.0
CELSO MALDANER,Fuels and lubricants,PMDB,SC,224.16
BRUNO ARAÚJO,Flight tickets,PSDB,PE,1684.93
ANTONIO BULHÕES,Maintenance of office supporting parliamentary activity,PRB,SP,137.2
ANTONIO BULHÕES,Publicity of parliamentary activity,PRB,SP,66.0
AFONSO HAMM,Fuels and lubricants,PP,RS,170.49
SÉRGIO BRITO,Flight tickets,PSD,BA,2228.8
ONYX LORENZONI,Fuels and lubricants,DEM,RS,100.0
ONYX LORENZONI,Fuels and lubricants,DEM,RS,142.55
ONYX LORENZONI,Lodging except for congressperson from Distrito Federal,DEM,RS,230.32
ONYX LORENZONI,Lodging except for congressperson from Distrito Federal,DEM,RS,230.32
ONYX LORENZONI,Lodging except for congressperson from Distrito Federal,DEM,RS,245.32
ONYX LORENZONI,Automotive vehicle renting or charter,DEM,RS,3487.68
DELEY,Fuels and lubricants,PTB,RJ,110.53
JOSÉ CARLOS ARAÚJO,Fuels and lubricants,PR,BA,140.42
CARLOS SOUZA,Fuels and lubricants,PSDB,AM,100.0
BENJAMIN MARANHÃO,Fuels and lubricants,SD,PB,220.0
ALICE PORTUGAL,Fuels and lubricants,PCdoB,BA,192.44
ALICE PORTUGAL,Fuels and lubricants,PCdoB,BA,100.0
JÚLIO DELGADO,Taxi toll and parking,PSB,MG,5.3
JÚLIO DELGADO,Fuels and lubricants,PSB,MG,121.62
JÚLIO DELGADO,Fuels and lubricants,PSB,MG,65.0
LUIS CARLOS HEINZE,Lodging except for congressperson from Distrito Federal,PP,RS,110.0
LUIS CARLOS HEINZE,Congressperson meal,PP,RS,22.5
LUIS CARLOS HEINZE,Fuels and lubricants,PP,RS,213.0
LUIS CARLOS HEINZE,Congressperson meal,PP,RS,35.0
HENRIQUE FONTANA,Lodging except for congressperson from Distrito Federal,PT,RS,380.0
HENRIQUE FONTANA,Lodging except for congressperson from Distrito Federal,PT,RS,380.0
HENRIQUE FONTANA,Congressperson meal,PT,RS,24.0
HENRIQUE FONTANA,Congressperson meal,PT,RS,27.0
HENRIQUE FONTANA,Fuels and lubricants,PT,RS,193.53
PEDRO CHAVES,Fuels and lubricants,PMDB,GO,200.0
GONZAGA PATRIOTA,Lodging except for congressperson from Distrito Federal,PSB,PE,149.0
MARCUS VICENTE,Fuels and lubricants,PP,ES,170.01
RAIMUNDO GOMES DE MATOS,Fuels and lubricants,PSDB,CE,142.09
SILVIO TORRES,Fuels and lubricants,PSDB,SP,89.69
EDUARDO BARBOSA,Fuels and lubricants,PSDB,MG,160.58
RICARDO TRIPOLI,Maintenance of office supporting parliamentary activity,PSDB,SP,409.4
PEPE VARGAS,Fuels and lubricants,PT,RS,173.26
OTAVIO LEITE,Consultancy research and technical work,PSDB,RJ,4200.0
LUIZ FERNANDO FARIA,Fuels and lubricants,PP,MG,226.2
LÚCIO VALE,Automotive vehicle renting or charter,PR,PA,3990.0
LEONARDO QUINTÃO,Lodging except for congressperson from Distrito Federal,PMDB,MG,163.77
LAERTE BESSA,Publicity of parliamentary activity,PR,DF,2000.0
FERNANDO COELHO FILHO,Flight tickets,PSB,PE,2186.8
EDUARDO DA FONTE,Fuels and lubricants,PP,PE,170.0
DAGOBERTO NOGUEIRA,Postal services,PDT,MS,25.1
DAGOBERTO NOGUEIRA,Maintenance of office supporting parliamentary activity,PDT,MS,6000.0
CHICO D'ANGELO,Fuels and lubricants,PT,RJ,179.07
ANTONIO BULHÕES,Publicity of parliamentary activity,PRB,SP,141.79
AFONSO HAMM,Fuels and lubricants,PP,RS,200.0
AFONSO HAMM,Fuels and lubricants,PP,RS,150.0
MARCO MAIA,Publicity of parliamentary activity,PT,RS,5000.0
ONYX LORENZONI,Fuels and lubricants,DEM,RS,100.0
ONYX LORENZONI,Fuels and lubricants,DEM,RS,100.05
MAURÍCIO QUINTELLA LESSA,Flight tickets,PR,AL,1201.93
DELEY,Fuels and lubricants,PTB,RJ,252.41
DELEY,Fuels and lubricants,PTB,RJ,167.82
DELEY,Fuels and lubricants,PTB,RJ,170.88
CHICO ALENCAR,Fuels and lubricants,PSOL,RJ,222.19
CARLOS SAMPAIO,Maintenance of office supporting parliamentary activity,PSDB,SP,146.79
BENJAMIN MARANHÃO,Maintenance of office supporting parliamentary activity,SD,PB,184.48
BENJAMIN MARANHÃO,Fuels and lubricants,SD,PB,260.01
ALICE PORTUGAL,Fuels and lubricants,PCdoB,BA,194.21
JÚLIO DELGADO,Taxi toll and parking,PSB,MG,5.3
JÚLIO DELGADO,Taxi toll and parking,PSB,MG,5.3
JÚLIO DELGADO,Taxi toll and parking,PSB,MG,5.3
JÚLIO DELGADO,Taxi toll and parking,PSB,MG,5.3
JÚLIO DELGADO,Taxi toll and parking,PSB,MG,5.3
JÚLIO DELGADO,Taxi toll and parking,PSB,MG,5.3
JÚLIO DELGADO,Fuels and lubricants,PSB,MG,50.0
JÚLIO DELGADO,Fuels and lubricants,PSB,MG,132.9
CELSO JACOB,Congressperson meal,PMDB,RJ,44.15
POMPEO DE MATTOS,Fuels and lubricants,PDT,RS,214.18
POMPEO DE MATTOS,Fuels and lubricants,PDT,RS,100.0
LUIS CARLOS HEINZE,Fuels and lubricants,PP,RS,169.67
PEDRO CHAVES,Fuels and lubricants,PMDB,GO,160.44
PEDRO CHAVES,Aircraft renting or charter of aircraft,PMDB,GO,2900.0
LUIZA ERUNDINA,Fuels and lubricants,PSOL,SP,155.8
LUIZA ERUNDINA,Fuels and lubricants,PSOL,SP,30.0
LINCOLN PORTELA,Fuels and lubricants,PRB,MG,150.02
NELSON PELLEGRINO,Fuels and lubricants,PT,BA,50.0
MARCUS VICENTE,Fuels and lubricants,PP,ES,100.0
SILVIO TORRES,Terrestrial maritime and fluvial tickets,PSDB,SP,45.55
HERÁCLITO FORTES,Publication subscriptions,PSB,PI,480.0
EDUARDO BARBOSA,Congressperson meal,PSDB,MG,21.9
EDUARDO BARBOSA,Fuels and lubricants,PSDB,MG,180.41
DILCEU SPERAFICO,Fuels and lubricants,PP,PR,149.61
DILCEU SPERAFICO,Publicity of parliamentary activity,PP,PR,250.0
ROBERTO BRITTO,Congressperson meal,PP,BA,123.5
RICARDO TRIPOLI,Postal services,PSDB,SP,26.8
RENATO MOLLING,Congressperson meal,PP,RS,22.0
RENATO MOLLING,Taxi toll and parking,PP,RS,60.0
OTAVIO LEITE,Taxi toll and parking,PSDB,RJ,30.0
OTAVIO LEITE,Taxi toll and parking,PSDB,RJ,20.0
JULIÃO AMIN,Fuels and lubricants,PDT,MA,184.04
JULIÃO AMIN,Congressperson meal,PDT,MA,34.75
JULIÃO AMIN,Flight tickets,PDT,MA,1420.93
JOSÉ GUIMARÃES,Fuels and lubricants,PT,CE,2000.0
FÁBIO FARIA,Publicity of parliamentary activity,PSD,RN,1100.0
FÁBIO FARIA,Fuels and lubricants,PSD,RN,80.01
DÉCIO LIMA,Congressperson meal,PT,SC,66.77
DÉCIO LIMA,Congressperson meal,PT,SC,112.97
DÉCIO LIMA,Fuels and lubricants,PT,SC,160.39
CLEBER VERDE,Fuels and lubricants,PRB,MA,100.0
CLEBER VERDE,Fuels and lubricants,PRB,MA,150.0
CHICO LOPES,Fuels and lubricants,PCdoB,CE,157.33
CHICO D'ANGELO,Taxi toll and parking,PT,RJ,22.0
CHICO D'ANGELO,Taxi toll and parking,PT,RJ,50.0
CHICO D'ANGELO,Taxi toll and parking,PT,RJ,20.0
CELSO MALDANER,Fuels and lubricants,PMDB,SC,100.0
ANTONIO BULHÕES,Congressperson meal,PRB,SP,23.15
ALFREDO KAEFER,Fuels and lubricants,PSL,PR,100.0
MARCO MAIA,Fuels and lubricants,PT,RS,50.0
GORETE PEREIRA,Fuels and lubricants,PR,CE,50.0
ONYX LORENZONI,Fuels and lubricants,DEM,RS,166.0
MÁRIO HERINGER,Maintenance of office supporting parliamentary activity,PDT,MG,548.0
LUIZ COUTO,Fuels and lubricants,PT,PB,30.0
LOBBE NETO,Fuels and lubricants,PSDB,SP,70.0
DELEY,Fuels and lubricants,PTB,RJ,193.4
JOSÉ OTÁVIO GERMANO,Publicity of parliamentary activity,PP,RS,13800.0
CARLOS SOUZA,Fuels and lubricants,PSDB,AM,120.0
BENJAMIN MARANHÃO,Fuels and lubricants,SD,PB,100.0
ASSIS DO COUTO,Fuels and lubricants,PDT,PR,176.02
ASSIS DO COUTO,Publicity of parliamentary activity,PDT,PR,22000.0
ALICE PORTUGAL,Fuels and lubricants,PCdoB,BA,99.5
JÚLIO DELGADO,Taxi toll and parking,PSB,MG,112.0
CELSO JACOB,Congressperson meal,PMDB,RJ,49.5
POMPEO DE MATTOS,Fuels and lubricants,PDT,RS,195.38
HENRIQUE FONTANA,Lodging except for congressperson from Distrito Federal,PT,RS,147.0
HENRIQUE FONTANA,Congressperson meal,PT,RS,61.5
HENRIQUE FONTANA,Congressperson meal,PT,RS,116.5
HENRIQUE FONTANA,Fuels and lubricants,PT,RS,181.85
PEDRO CHAVES,Fuels and lubricants,PMDB,GO,108.0
LUIZ SÉRGIO,Postal services,PT,RJ,62.5
LUIZ SÉRGIO,Taxi toll and parking,PT,RJ,20.0
LUIZ SÉRGIO,Fuels and lubricants,PT,RJ,100.0
GONZAGA PATRIOTA,Congressperson meal,PSB,PE,27.9
GONZAGA PATRIOTA,Flight tickets,PSB,PE,1626.48
LINCOLN PORTELA,Fuels and lubricants,PRB,MG,196.94
NELSON PELLEGRINO,Fuels and lubricants,PT,BA,50.0
NELSON PELLEGRINO,Fuels and lubricants,PT,BA,166.01
NELSON PELLEGRINO,Fuels and lubricants,PT,BA,50.0
ANDRÉ DE PAULA,Congressperson meal,PSD,PE,30.4
ANDRÉ DE PAULA,Congressperson meal,PSD,PE,45.06
MARCUS VICENTE,Fuels and lubricants,PP,ES,140.15
